NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.6575545	-2.528395	0.0	0.0	0.0	3772	tags=71%, list=25%, signal=93%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.55985326	-2.137499	0.0	0.0	0.0	5441	tags=71%, list=35%, signal=109%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	-0.5255344	-2.005114	0.0	0.0	0.0	3651	tags=59%, list=24%, signal=76%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.61314535	-1.984367	0.0	0.0	0.0	4267	tags=78%, list=28%, signal=107%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	-0.40580273	-1.5413189	0.0047393367	0.02646559	0.103	5948	tags=64%, list=39%, signal=103%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	158	-0.38140693	-1.4139655	0.0	0.065700196	0.277	1638	tags=29%, list=11%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	79	-0.38393807	-1.2833251	0.08928572	0.15132634	0.582	2844	tags=35%, list=19%, signal=43%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	-0.39257723	-1.1494792	0.24615385	0.34878248	0.894	528	tags=14%, list=3%, signal=14%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.2996517	-1.134338	0.15348837	0.34762043	0.92	2180	tags=27%, list=14%, signal=31%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	160	-0.2973773	-1.0820714	0.24285714	0.4384027	0.984	1907	tags=24%, list=12%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	91	-0.30797243	-1.0778632	0.27702704	0.41034785	0.99	1709	tags=20%, list=11%, signal=22%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	-0.28388155	-1.034851	0.35744682	0.48836592	0.998	3533	tags=32%, list=23%, signal=41%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	32	-0.35210532	-0.9946282	0.46938777	0.5631263	1.0	1939	tags=38%, list=13%, signal=43%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	140	-0.2592766	-0.9476917	0.5951417	0.67038673	1.0	2482	tags=25%, list=16%, signal=30%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	183	-0.21267682	-0.7974104	0.9495413	0.96707046	1.0	3051	tags=22%, list=20%, signal=27%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	197	-0.19419987	-0.7518685	1.0	0.9487268	1.0	3651	tags=32%, list=24%, signal=41%	
