NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	180	0.7070682	2.3284996	0.0	0.0	0.0	1577	tags=51%, list=10%, signal=56%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	138	0.54741764	1.7672126	0.0	0.005567385	0.012	2766	tags=43%, list=18%, signal=53%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	159	0.5326334	1.7353675	0.0	0.0055082366	0.018	1732	tags=33%, list=11%, signal=36%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	140	0.5328987	1.7036041	0.0	0.006101437	0.027	1778	tags=37%, list=12%, signal=42%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	131	0.5340735	1.700073	0.0	0.0048811496	0.027	2319	tags=40%, list=15%, signal=46%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	60	0.5922234	1.6922251	0.004322767	0.0042129233	0.028	2657	tags=48%, list=17%, signal=58%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	185	0.49178377	1.646998	0.00125	0.0073031047	0.055	2479	tags=43%, list=16%, signal=51%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	149	0.48249277	1.555206	0.0	0.020930352	0.167	2424	tags=28%, list=16%, signal=33%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	164	0.47333875	1.5395328	0.0012820513	0.022811767	0.195	3105	tags=45%, list=20%, signal=56%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	26	0.6064626	1.5015285	0.03610675	0.031204587	0.284	1842	tags=54%, list=12%, signal=61%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	169	0.45249534	1.4764788	0.0013037809	0.036020283	0.354	2326	tags=33%, list=15%, signal=39%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	0.45406517	1.4276085	0.020718232	0.05685671	0.519	1834	tags=29%, list=12%, signal=32%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	144	0.4247354	1.3665822	0.0265252	0.09453992	0.745	1503	tags=26%, list=10%, signal=29%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	95	0.4427908	1.3616009	0.03434066	0.09286408	0.761	1539	tags=29%, list=10%, signal=33%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	143	0.4068297	1.3127378	0.05291723	0.13726228	0.908	2525	tags=33%, list=16%, signal=39%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	90	0.4344243	1.2955005	0.077562325	0.14982435	0.937	3105	tags=43%, list=20%, signal=54%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	100	0.42480066	1.2869946	0.08835341	0.15138116	0.952	1068	tags=22%, list=7%, signal=23%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	52	0.4576346	1.2748345	0.14057972	0.15869285	0.97	2799	tags=31%, list=18%, signal=37%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	150	0.38737524	1.250334	0.085568324	0.18371545	0.987	1539	tags=20%, list=10%, signal=22%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	179	0.37119943	1.232109	0.0906801	0.20175828	0.994	2054	tags=23%, list=13%, signal=26%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		17	0.52266085	1.1855333	0.27450982	0.270665	0.999	1824	tags=29%, list=12%, signal=33%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		178	0.33145738	1.0912637	0.26733923	0.45860216	1.0	2093	tags=19%, list=14%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		170	0.32401595	1.0581867	0.3324937	0.5242599	1.0	2281	tags=28%, list=15%, signal=33%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		166	0.31915832	1.049588	0.36173	0.5239242	1.0	3592	tags=30%, list=23%, signal=38%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		45	0.37318596	1.0153431	0.4266055	0.59068763	1.0	2090	tags=20%, list=14%, signal=23%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		74	0.3301444	0.98748016	0.48493543	0.6432303	1.0	866	tags=9%, list=6%, signal=10%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		28	0.37539956	0.94453275	0.552381	0.72920984	1.0	1004	tags=25%, list=7%, signal=27%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		111	0.2931736	0.9095241	0.65217394	0.7934616	1.0	2542	tags=13%, list=17%, signal=15%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		92	0.2914349	0.89884865	0.6573034	0.7926024	1.0	3263	tags=20%, list=21%, signal=25%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		29	0.33395427	0.8348129	0.7079365	0.9102755	1.0	587	tags=10%, list=4%, signal=11%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		71	0.27240264	0.7960242	0.82808024	0.95115846	1.0	2080	tags=20%, list=14%, signal=23%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.26213416	0.78982854	0.8625526	0.93055797	1.0	5454	tags=42%, list=36%, signal=65%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		86	0.2080393	0.62967074	0.992785	1.0	1.0	2840	tags=14%, list=18%, signal=17%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		135	0.18581307	0.5976724	1.0	0.9935026	1.0	3506	tags=17%, list=23%, signal=22%	
