NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	Details ...	20	-0.7889276	-2.0070472	0.0	0.0035553987	0.003	1242	tags=60%, list=8%, signal=65%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	35	-0.686084	-1.9896861	0.0	0.0036016165	0.006	3819	tags=83%, list=25%, signal=110%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	Details ...	20	-0.7392927	-1.8836001	0.0	0.010519179	0.025	1242	tags=60%, list=8%, signal=65%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	125	-0.5196867	-1.8546857	0.0	0.011449818	0.037	5570	tags=63%, list=36%, signal=98%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	69	-0.5237108	-1.7470428	0.0	0.038825486	0.144	2366	tags=49%, list=15%, signal=58%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	53	-0.5367882	-1.6891145	0.0030674846	0.05854531	0.246	1252	tags=25%, list=8%, signal=27%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	Details ...	51	-0.5460657	-1.6825157	0.0033444816	0.05433321	0.262	1395	tags=29%, list=9%, signal=32%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	21	-0.6499996	-1.6742495	0.013550135	0.05099496	0.278	3488	tags=52%, list=23%, signal=68%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	21	-0.62840337	-1.642576	0.01305483	0.061904628	0.364	792	tags=48%, list=5%, signal=50%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	56	-0.50485396	-1.5919368	0.0124223605	0.08836275	0.506	5093	tags=59%, list=33%, signal=88%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	22	-0.5884191	-1.5779598	0.03	0.090238504	0.55	3953	tags=64%, list=26%, signal=86%	
