NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	50	0.614829	1.7078242	0.0014880953	0.19870716	0.201	1875	tags=28%, list=12%, signal=32%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	33	0.6578976	1.6776543	0.0015673981	0.15238072	0.295	966	tags=45%, list=6%, signal=48%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	121	0.52850276	1.669526	0.0	0.11119619	0.317	1787	tags=39%, list=12%, signal=44%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	Details ...	166	0.5022296	1.6494476	0.0	0.106602184	0.386	1781	tags=28%, list=12%, signal=32%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Details ...	74	0.5583031	1.629485	0.0014144272	0.10951212	0.467	1278	tags=20%, list=8%, signal=22%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	92	0.53009987	1.6156329	0.0	0.109138474	0.518	1758	tags=37%, list=11%, signal=41%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Details ...	56	0.55497885	1.5788429	0.008571428	0.14498454	0.662	1657	tags=39%, list=11%, signal=44%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	70	0.52648455	1.5579135	0.004322767	0.15729502	0.742	1802	tags=27%, list=12%, signal=31%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	Details ...	21	0.65126234	1.553214	0.019323671	0.14743908	0.758	435	tags=19%, list=3%, signal=20%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	207	0.4495599	1.5078542	0.0012484394	0.2080513	0.9	2365	tags=28%, list=15%, signal=32%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	63	0.525482	1.4824685	0.010189229	0.24009617	0.939	1932	tags=46%, list=13%, signal=52%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	48	0.53157276	1.4701844	0.024615385	0.24445523	0.961	1397	tags=19%, list=9%, signal=21%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	Details ...	271	0.42600602	1.4473637	0.0011560693	0.27695552	0.986	1830	tags=21%, list=12%, signal=24%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	Details ...	66	0.48846593	1.4385666	0.032163743	0.2737161	0.989	1112	tags=15%, list=7%, signal=16%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Details ...	77	0.47675675	1.4199511	0.028653296	0.29669657	0.994	1486	tags=19%, list=10%, signal=21%	
KEGG_MELANOMA	KEGG_MELANOMA	Details ...	51	0.49586493	1.4068089	0.06845238	0.3077804	0.996	2498	tags=29%, list=16%, signal=35%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	24	0.56418854	1.3587811	0.08580858	0.41886172	1.0	1689	tags=33%, list=11%, signal=37%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	58	0.4758947	1.3586112	0.07385524	0.39648363	1.0	1397	tags=29%, list=9%, signal=32%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS	Details ...	21	0.5753147	1.3555468	0.104132235	0.38391522	1.0	2271	tags=33%, list=15%, signal=39%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	Details ...	40	0.5013749	1.3470569	0.083728276	0.38668972	1.0	1004	tags=18%, list=7%, signal=19%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		54	0.46222356	1.313005	0.09969789	0.4609154	1.0	1397	tags=28%, list=9%, signal=30%	
