NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	173	-0.5045373	-2.120287	0.0	0.0	0.0	2908	tags=41%, list=18%, signal=50%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	146	-0.4371097	-1.8138162	0.0	0.015655467	0.012	2061	tags=28%, list=13%, signal=32%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.40954095	-1.7707881	0.0	0.014404781	0.015	4391	tags=44%, list=28%, signal=60%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	72	-0.47122282	-1.7562337	0.0	0.011465349	0.016	1989	tags=35%, list=13%, signal=40%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	177	-0.4072559	-1.7424896	0.0	0.010663352	0.019	1936	tags=23%, list=12%, signal=25%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	127	-0.42377007	-1.7271	0.0	0.009655864	0.021	1842	tags=28%, list=12%, signal=32%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	154	-0.40719947	-1.6988027	0.0	0.01270833	0.032	2921	tags=37%, list=19%, signal=45%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	175	-0.39430398	-1.678958	0.0	0.0151376985	0.042	2200	tags=25%, list=14%, signal=28%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	176	-0.38231632	-1.6314124	0.0	0.018833933	0.056	2643	tags=31%, list=17%, signal=37%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	161	-0.39593706	-1.6260667	0.0	0.018080786	0.059	2216	tags=34%, list=14%, signal=39%	
