NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	35	-0.6895813	-2.2677372	0.0	0.0	0.0	2046	tags=54%, list=13%, signal=62%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	118	-0.51125723	-2.0422873	0.0	0.0053893807	0.005	3629	tags=42%, list=23%, signal=54%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	113	-0.4762162	-1.8735555	0.0	0.048189256	0.063	3830	tags=45%, list=24%, signal=59%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	53	-0.5090742	-1.8040067	0.0	0.07673429	0.13	2107	tags=42%, list=13%, signal=48%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	Details ...	47	-0.52596796	-1.7933086	0.0	0.06963351	0.147	2407	tags=34%, list=15%, signal=40%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	24	-0.61133146	-1.7828172	0.0127551025	0.06430081	0.163	1646	tags=38%, list=10%, signal=42%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	-0.5554628	-1.7584909	0.0056980057	0.06846539	0.198	4119	tags=56%, list=26%, signal=75%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	Details ...	20	-0.6118271	-1.7530122	0.00795756	0.062742494	0.207	3438	tags=45%, list=22%, signal=57%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	146	-0.41063434	-1.6883923	0.0	0.102723695	0.354	3721	tags=42%, list=24%, signal=55%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	Details ...	18	-0.6080656	-1.6641908	0.023076924	0.113330215	0.416	4251	tags=78%, list=27%, signal=106%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	Details ...	17	-0.61525595	-1.6592294	0.009367681	0.10819746	0.43	1577	tags=41%, list=10%, signal=46%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	Details ...	58	-0.46470013	-1.6535715	0.0058139535	0.103945054	0.445	2332	tags=33%, list=15%, signal=38%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	Details ...	20	-0.5898932	-1.636564	0.024390243	0.1106205	0.481	2793	tags=40%, list=18%, signal=49%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	84	-0.42907742	-1.6234317	0.0029239766	0.1170294	0.527	4948	tags=57%, list=31%, signal=83%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	72	-0.4287566	-1.5932574	0.0	0.13413641	0.591	1664	tags=22%, list=11%, signal=25%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	161	-0.37260216	-1.5613518	0.0	0.15766853	0.682	2694	tags=26%, list=17%, signal=31%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Details ...	54	-0.43545458	-1.5583264	0.008547009	0.15103264	0.69	2046	tags=30%, list=13%, signal=34%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	Details ...	56	-0.43560764	-1.5349416	0.022408964	0.16467041	0.745	2261	tags=27%, list=14%, signal=31%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	Details ...	28	-0.5052878	-1.5212213	0.044736844	0.17106022	0.77	3185	tags=36%, list=20%, signal=45%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	16	-0.5546341	-1.5047792	0.052369077	0.18070753	0.806	1577	tags=38%, list=10%, signal=42%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS		39	-0.45734113	-1.4962604	0.024570024	0.18305847	0.828	2462	tags=31%, list=16%, signal=36%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA		51	-0.4258716	-1.4837292	0.051987767	0.19115376	0.86	2335	tags=31%, list=15%, signal=37%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		41	-0.4458547	-1.4780252	0.020231213	0.18948823	0.876	4768	tags=46%, list=30%, signal=66%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY		86	-0.384694	-1.461633	0.021084337	0.20126848	0.895	1553	tags=24%, list=10%, signal=27%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		37	-0.44546348	-1.439849	0.0518732	0.22392286	0.924	1348	tags=24%, list=9%, signal=27%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		66	-0.40088707	-1.4353908	0.049853373	0.22057757	0.929	2130	tags=32%, list=13%, signal=37%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		60	-0.39350104	-1.4298096	0.042979944	0.22092654	0.938	2255	tags=32%, list=14%, signal=37%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		48	-0.42199013	-1.4222134	0.050802138	0.22245122	0.94	2016	tags=23%, list=13%, signal=26%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION		111	-0.34981856	-1.4088522	0.025	0.23519619	0.961	2292	tags=30%, list=15%, signal=35%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES		23	-0.49277878	-1.4084196	0.0906801	0.22839299	0.962	3024	tags=35%, list=19%, signal=43%	
KEGG_LYSOSOME	KEGG_LYSOSOME		117	-0.3454799	-1.3985329	0.021276595	0.23487584	0.975	2508	tags=19%, list=16%, signal=22%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		25	-0.47354695	-1.3935581	0.077319585	0.23451634	0.98	1964	tags=32%, list=12%, signal=36%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		26	-0.46057075	-1.3919345	0.071240105	0.22948442	0.98	2335	tags=31%, list=15%, signal=36%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION		67	-0.37771714	-1.3816518	0.062305298	0.23872761	0.99	2332	tags=19%, list=15%, signal=23%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		20	-0.4906153	-1.3722095	0.12195122	0.24475935	0.993	1830	tags=25%, list=12%, signal=28%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		45	-0.4015031	-1.3620884	0.084033616	0.2527464	0.994	1492	tags=22%, list=9%, signal=24%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		26	-0.45849544	-1.3612635	0.1155914	0.24711834	0.994	786	tags=15%, list=5%, signal=16%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		64	-0.37405434	-1.354921	0.043343652	0.2489748	0.994	2261	tags=23%, list=14%, signal=27%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		164	-0.32252988	-1.3489584	0.034749035	0.25174898	0.998	2407	tags=26%, list=15%, signal=31%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		77	-0.356541	-1.3477935	0.051575933	0.24754927	0.998	2387	tags=26%, list=15%, signal=30%	
