NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	54	0.5745991	1.8387122	0.0	0.017719911	0.049	2731	tags=46%, list=17%, signal=56%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS	Details ...	23	0.5173203	1.3985267	0.08199357	0.9992697	0.999	2041	tags=30%, list=13%, signal=35%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	67	0.4150339	1.3802294	0.049327355	0.757963	1.0	1573	tags=16%, list=10%, signal=18%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	Details ...	18	0.5114979	1.3252375	0.12458472	0.8331968	1.0	2670	tags=22%, list=17%, signal=27%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	83	0.360082	1.2386267	0.11377245	1.0	1.0	2006	tags=33%, list=13%, signal=37%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	21	0.41496843	1.1209029	0.32053423	1.0	1.0	1254	tags=19%, list=8%, signal=21%	
KEGG_MELANOMA	KEGG_MELANOMA	Details ...	50	0.33190826	1.0595478	0.3663522	1.0	1.0	2586	tags=32%, list=16%, signal=38%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	Details ...	24	0.3841561	1.0494928	0.3867314	1.0	1.0	2394	tags=21%, list=15%, signal=25%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	Details ...	62	0.31397015	1.0351721	0.40120664	1.0	1.0	538	tags=8%, list=3%, signal=8%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	97	0.26868218	0.96231174	0.5459689	1.0	1.0	2501	tags=22%, list=16%, signal=26%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY	Details ...	78	0.27714917	0.95602214	0.5366569	1.0	1.0	699	tags=8%, list=4%, signal=8%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	Details ...	30	0.33475453	0.95494884	0.5360656	1.0	1.0	3112	tags=20%, list=20%, signal=25%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	76	0.26555905	0.90852785	0.6424242	1.0	1.0	416	tags=7%, list=3%, signal=7%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Details ...	81	0.26195407	0.90713686	0.6307922	1.0	1.0	2977	tags=23%, list=19%, signal=29%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	Details ...	36	0.29669714	0.900191	0.6483871	1.0	1.0	1395	tags=17%, list=9%, signal=18%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	Details ...	67	0.2555897	0.85495806	0.7346626	1.0	1.0	1102	tags=10%, list=7%, signal=11%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	77	0.246768	0.85343575	0.7541478	1.0	1.0	4219	tags=25%, list=27%, signal=34%	
