NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	196	-0.821487	-3.3963313	0.0	0.0	0.0	1640	tags=81%, list=14%, signal=92%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	198	-0.7767829	-3.2284203	0.0	0.0	0.0	1642	tags=68%, list=14%, signal=77%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	-0.69307107	-2.888592	0.0	0.0	0.0	3059	tags=80%, list=25%, signal=105%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	55	-0.81859916	-2.7924702	0.0	0.0	0.0	1412	tags=84%, list=12%, signal=94%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	186	-0.60752726	-2.5011742	0.0	0.0	0.0	2357	tags=53%, list=20%, signal=65%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	191	-0.54333496	-2.2483377	0.0	0.0	0.0	1397	tags=27%, list=12%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	-0.5871128	-2.0948715	0.0	0.0	0.0	1073	tags=28%, list=9%, signal=31%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	143	-0.50847393	-2.0343773	0.0	0.0	0.0	1267	tags=32%, list=11%, signal=36%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	108	-0.5088712	-1.9923089	0.0	1.2380953E-4	0.001	2427	tags=43%, list=20%, signal=53%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	121	-0.5065957	-1.9680682	0.0	1.1142856E-4	0.001	1663	tags=36%, list=14%, signal=41%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	136	-0.48638248	-1.9208812	0.0	2.0557677E-4	0.002	2043	tags=31%, list=17%, signal=37%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	133	-0.47057322	-1.8593487	0.0	7.513059E-4	0.008	1720	tags=31%, list=14%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	141	-0.4563217	-1.817114	0.0	0.0010831445	0.012	1907	tags=35%, list=16%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	147	-0.45335862	-1.8077494	0.0	0.0012622843	0.015	3374	tags=45%, list=28%, signal=62%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	142	-0.40163195	-1.5990535	0.0	0.014260519	0.162	1540	tags=27%, list=13%, signal=31%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	74	-0.43082413	-1.5542116	0.008156607	0.021155246	0.246	1267	tags=28%, list=11%, signal=32%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.47119543	-1.5342749	0.015384615	0.023012493	0.274	2274	tags=33%, list=19%, signal=41%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	82	-0.42046028	-1.532971	0.007633588	0.021992892	0.276	2127	tags=38%, list=18%, signal=46%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	90	-0.4105397	-1.5132952	0.014265335	0.024919555	0.322	1197	tags=22%, list=10%, signal=24%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	120	-0.38407254	-1.5065371	0.008510638	0.025410615	0.339	1916	tags=31%, list=16%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		83	-0.3763122	-1.4143676	0.042386185	0.056764226	0.626	1613	tags=25%, list=13%, signal=29%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		17	-0.53251517	-1.4112726	0.08571429	0.05637196	0.644	1207	tags=29%, list=10%, signal=33%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		29	-0.46486443	-1.3979193	0.084529504	0.060293075	0.695	2954	tags=45%, list=25%, signal=59%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		118	-0.34295082	-1.3534096	0.0393586	0.08061709	0.811	1507	tags=20%, list=13%, signal=23%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		120	-0.33065012	-1.3008823	0.06695779	0.1187788	0.924	1443	tags=21%, list=12%, signal=23%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		61	-0.35542366	-1.2356638	0.15335463	0.18280198	0.985	1516	tags=28%, list=13%, signal=32%	
