NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	112	-0.68107563	-2.6284266	0.0	0.0	0.0	1473	tags=44%, list=12%, signal=49%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	35	-0.82140213	-2.5605898	0.0	0.0	0.0	940	tags=74%, list=8%, signal=80%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	Details ...	81	-0.641266	-2.3761098	0.0	0.0	0.0	2066	tags=48%, list=17%, signal=58%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	119	-0.60548323	-2.3686438	0.0	0.0	0.0	3715	tags=68%, list=31%, signal=98%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	22	-0.78938097	-2.2758884	0.0	0.0	0.0	1372	tags=68%, list=11%, signal=77%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM	Details ...	114	-0.5818416	-2.2548945	0.0	0.0	0.0	2397	tags=51%, list=20%, signal=63%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	26	-0.73812586	-2.205552	0.0	0.0	0.0	2042	tags=65%, list=17%, signal=79%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	86	-0.58357954	-2.1708214	0.0	0.0	0.0	1474	tags=30%, list=12%, signal=34%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	84	-0.58027804	-2.1628122	0.0	0.0	0.0	4447	tags=85%, list=37%, signal=133%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	42	-0.6601189	-2.1590168	0.0	0.0	0.0	2693	tags=62%, list=22%, signal=80%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	41	-0.63104224	-2.067017	0.0	0.0	0.0	2999	tags=76%, list=25%, signal=100%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Details ...	65	-0.58613753	-2.066746	0.0	0.0	0.0	1303	tags=29%, list=11%, signal=33%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	52	-0.6021421	-2.0655367	0.0	0.0	0.0	2294	tags=48%, list=19%, signal=59%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	31	-0.67499685	-2.0503716	0.0	6.832299E-5	0.001	1889	tags=52%, list=16%, signal=61%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	53	-0.5698814	-1.916018	0.0	0.001942605	0.03	1124	tags=32%, list=9%, signal=35%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE	Details ...	29	-0.5866116	-1.7690448	0.004823151	0.014591013	0.218	3602	tags=69%, list=30%, signal=98%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	41	-0.5393233	-1.743239	0.0048387097	0.017770803	0.273	3607	tags=61%, list=30%, signal=87%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	62	-0.4520094	-1.6005173	0.01141925	0.06558987	0.702	1271	tags=19%, list=11%, signal=22%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	Details ...	67	-0.4425604	-1.5703605	0.004702194	0.08066349	0.777	1761	tags=27%, list=15%, signal=31%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	Details ...	32	-0.506228	-1.567202	0.018998273	0.07868031	0.787	993	tags=22%, list=8%, signal=24%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		17	-0.58025885	-1.562051	0.035650622	0.077863365	0.802	1117	tags=35%, list=9%, signal=39%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE		15	-0.5780447	-1.4757744	0.05851064	0.14472723	0.959	1396	tags=53%, list=12%, signal=60%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		15	-0.56827545	-1.4713825	0.06495727	0.14266036	0.961	3665	tags=67%, list=31%, signal=96%	
