NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	105	0.43336242	1.8183931	0.0	0.0066611012	0.01	2356	tags=43%, list=20%, signal=53%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	112	0.39385527	1.6941066	0.0	0.009947873	0.032	1464	tags=28%, list=12%, signal=31%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	71	0.36646822	1.463022	0.014005602	0.059665687	0.255	538	tags=23%, list=4%, signal=23%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	69	0.3536803	1.4056151	0.03735632	0.073110126	0.373	1409	tags=22%, list=12%, signal=24%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	64	0.36508304	1.3906786	0.036414567	0.06452319	0.403	2544	tags=45%, list=21%, signal=57%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	66	0.3410313	1.3102833	0.06111111	0.102366	0.638	2762	tags=39%, list=23%, signal=51%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	152	0.28027254	1.2517842	0.04467354	0.13416326	0.794	2721	tags=31%, list=23%, signal=39%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	121	0.28379834	1.214359	0.10091743	0.15316747	0.872	2425	tags=38%, list=20%, signal=47%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	0.31631827	1.0737637	0.3175	0.33150473	0.992	514	tags=11%, list=4%, signal=11%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	126	0.23080824	1.0008345	0.43887147	0.4417062	1.0	1965	tags=22%, list=16%, signal=26%	
