NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	101	0.4887226	2.022374	0.0	0.009310389	0.009	3155	tags=49%, list=26%, signal=65%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	17	0.61577415	1.7198138	0.013186813	0.15607552	0.262	1602	tags=47%, list=13%, signal=54%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	17	0.5906487	1.7056879	0.009090909	0.1136684	0.282	1475	tags=47%, list=12%, signal=54%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	38	0.4907954	1.692895	0.0024213076	0.09830721	0.315	1205	tags=42%, list=10%, signal=47%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	35	0.49168667	1.6719376	0.0	0.0966866	0.37	1951	tags=46%, list=16%, signal=54%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Details ...	15	0.5754182	1.5904219	0.038548753	0.15296447	0.583	3055	tags=53%, list=25%, signal=71%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	35	0.45047387	1.5434363	0.033163264	0.18576004	0.707	2934	tags=46%, list=24%, signal=60%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	Details ...	87	0.3774871	1.5424623	0.008547009	0.16337483	0.708	2039	tags=29%, list=17%, signal=34%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	15	0.5626275	1.5322632	0.038004752	0.15488526	0.732	1216	tags=27%, list=10%, signal=30%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	Details ...	55	0.3926995	1.4855154	0.021917809	0.19709118	0.842	4187	tags=44%, list=35%, signal=67%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	Details ...	20	0.4878095	1.480821	0.04805492	0.18527506	0.848	853	tags=25%, list=7%, signal=27%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	Details ...	20	0.4995817	1.4718161	0.05637255	0.1812725	0.874	77	tags=10%, list=1%, signal=10%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	Details ...	15	0.53418016	1.4456344	0.09048724	0.19953492	0.902	1000	tags=20%, list=8%, signal=22%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	59	0.3820445	1.4456153	0.016713092	0.18536022	0.902	2131	tags=24%, list=18%, signal=29%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	19	0.45168048	1.3132684	0.120567374	0.39584735	0.997	2726	tags=47%, list=23%, signal=61%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	Details ...	21	0.44072527	1.3114318	0.14123006	0.37503132	0.997	694	tags=24%, list=6%, signal=25%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	63	0.33531627	1.2818761	0.088	0.41813764	0.999	2281	tags=29%, list=19%, signal=35%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Details ...	21	0.39787367	1.2012477	0.20833333	0.6112134	1.0	914	tags=19%, list=8%, signal=21%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	59	0.3176689	1.1994323	0.15803109	0.58397895	1.0	2762	tags=41%, list=23%, signal=53%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	Details ...	21	0.38145924	1.1686058	0.24747474	0.6450665	1.0	3961	tags=57%, list=33%, signal=85%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM		16	0.41163155	1.1569327	0.24604966	0.64906245	1.0	1530	tags=38%, list=13%, signal=43%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		68	0.28767842	1.1552583	0.18207283	0.62494195	1.0	2518	tags=26%, list=21%, signal=33%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		30	0.34106132	1.1375256	0.24365482	0.6512644	1.0	4258	tags=50%, list=35%, signal=77%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		45	0.31117922	1.1316767	0.25128207	0.6409618	1.0	2784	tags=31%, list=23%, signal=40%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		54	0.29721585	1.104864	0.2722513	0.69851524	1.0	2046	tags=33%, list=17%, signal=40%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		17	0.37421992	1.087338	0.31730768	0.7270145	1.0	2080	tags=24%, list=17%, signal=28%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		21	0.36519024	1.0663252	0.34318182	0.76984394	1.0	1487	tags=29%, list=12%, signal=33%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		35	0.31115907	1.0659499	0.35064936	0.7434073	1.0	4620	tags=63%, list=38%, signal=102%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		47	0.28926718	1.0518926	0.33587787	0.76365596	1.0	2518	tags=28%, list=21%, signal=35%	
